X,Y
1   , 144    
3   , 144    
5   , 144    
7   , 144    
9   , 144    
11  , 147    
13  , 147    
15  , 144    
17  , 144    
19  , 147    
21  , 144    
23  , 141    
25  , 144    
27  , 136    
29  , 127    
31  , 141    
33  , 138    
35  , 147    
37  , 136    
39  , 147    
41  , 147    
43  , 144    
45  , 147    
47  , 150    
49  , 147    
51  , 147    
53  , 147    
55  , 144    
57  , 141    
59  , 138    
61  , 99     
63  , 19     
65  , 11     
67  , 11     
69  , 11     
71  , 34     
73  , 76     
75  , 107    
77  , 96     
79  , 85     
81  , 53     
83  , 5      
85  , 39     
87  , 31     
89  , 19     
91  , 8      
93  , 11     
95  , 2      
97  , 0      
99  , 0      
101 , 5      
103 , 19     
105 , 22     
107 , 19     
109 , 31     
111 , 42     
113 , 85     
115 , 133    
117 , 119    
119 , 87     
121 , 82     
123 , 110    
125 , 116    
127 , 113    
129 , 79     
131 , 96     
133 , 82     
135 , 68     
137 , 70     
139 , 62     
141 , 65     
143 , 48     
145 , 45     
147 , 45     
149 , 39     
151 , 36     
153 , 31     
155 , 25     
157 , 22     
159 , 22     
161 , 17     
163 , 14     
165 , 14     
167 , 14     
169 , 14     
171 , 14     
173 , 14     
175 , 14     
177 , 17     
179 , 14     
181 , 14     
183 , 14     
185 , 14     
187 , 11     
189 , 11     
191 , 14     
193 , 14     
195 , 14     
197 , 14     
199 , 14     
201 , 11     
203 , 14     
205 , 11     
207 , 14     
209 , 14     
211 , 11     
213 , 14     
215 , 14     
217 , 14     
219 , 11     
221 , 14     
223 , 8      
225 , 11     
227 , 14     
229 , 22     
231 , 19     
233 , 19     
235 , 22     
237 , 22     
239 , 25     
241 , 22     
243 , 22     
245 , 25     
247 , 19     
249 , 28     
251 , 65     
253 , 39     
255 , 31     
257 , 36     
259 , 39     
261 , 45     
263 , 45     
265 , 48     
267 , 62     
269 , 59     
271 , 62     
273 , 65     
275 , 73     
277 , 70     
279 , 65     
281 , 85     
283 , 70     
285 , 73     
287 , 73     
289 , 87     
291 , 76     
293 , 79     
295 , 96     
297 , 85     
299 , 73     
301 , 85     
303 , 96     
305 , 85     
307 , 93     
309 , 107    
311 , 90     
313 , 90     
315 , 113    
317 , 119    
319 , 104    
321 , 102    
323 , 121    
325 , 113    
327 , 96     
329 , 113    
331 , 113    
333 , 107    
335 , 116    
337 , 124    
339 , 113    
341 , 102    
343 , 104    
345 , 87     
347 , 76     
349 , 82     
351 , 82     
353 , 65     
355 , 62     
357 , 68     
359 , 68     
361 , 59     
363 , 53     
365 , 59     
367 , 59     
369 , 56     
371 , 65     
373 , 68     
375 , 76     
377 , 104    
379 , 90     
381 , 79     
383 , 82     
385 , 82     
387 , 73     
389 , 62     
391 , 65     
393 , 76     
395 , 70     
397 , 70     
399 , 79     
401 , 87     
403 , 96     
405 , 107    
407 , 124    
409 , 127    
411 , 130    
413 , 138    
415 , 138    
417 , 136    
419 , 144    
421 , 141    
423 , 130    
425 , 138    
427 , 144    
429 , 138    
431 , 127    
433 , 133    
435 , 121    
437 , 107    
439 , 110    
441 , 107    
443 , 99     
445 , 90     
447 , 96     
449 , 102    
451 , 96     
453 , 102    
455 , 124    
457 , 116    
459 , 22     
461 , 2      
463 , 65     
465 , 110    
467 , 124    
469 , 116    
471 , 107    
473 , 107    
475 , 99     
477 , 90     
479 , 82     
481 , 87     
483 , 82     
485 , 73     
487 , 70     
489 , 68     
491 , 65     
493 , 56     
495 , 56     
497 , 53     
499 , 51     
501 , 53     
503 , 62     
505 , 73     
507 , 87     
509 , 93     
511 , 87     
513 , 96     
515 , 102    
517 , 116    
519 , 124    
521 , 110    
523 , 107    
525 , 104    
527 , 110    
529 , 110    
531 , 102    
533 , 93     
535 , 99     
537 , 99     
539 , 93     
541 , 93     
543 , 96     
545 , 99     
547 , 104    
549 , 116    
551 , 110    
553 , 102    
555 , 107    
557 , 119    
559 , 119    
561 , 119    
563 , 121    
565 , 124    
567 , 121    
569 , 119    
571 , 127    
573 , 119    
575 , 113    
577 , 121    
579 , 130    
581 , 124    
583 , 119    
585 , 121    
587 , 116    
589 , 119    
591 , 130    
593 , 116    
595 , 104    
597 , 119    
599 , 127    
601 , 113    
603 , 124    
605 , 119    
607 , 110    
609 , 113    
611 , 136    
613 , 124    
615 , 116    
617 , 133    
619 , 133    
621 , 121    
623 , 124    
625 , 138    
627 , 138    
629 , 130    
631 , 141    
633 , 136    
635 , 127    
637 , 133    
639 , 138    
641 , 124    
643 , 127    
645 , 141    
647 , 130    
649 , 121    
651 , 127    
653 , 136    
655 , 121    
657 , 121    
659 , 136    
661 , 133    
663 , 119    
665 , 141    
667 , 144    
669 , 130    
671 , 138    
673 , 147    
675 , 130    
677 , 133    
679 , 147    
681 , 127    
683 , 119    
685 , 133    
687 , 133    
689 , 119    
691 , 113    
693 , 121    
695 , 99     
697 , 93     
699 , 102    
701 , 90     
703 , 79     
705 , 70     
707 , 93     
709 , 93     
711 , 65     
713 , 65     
715 , 73     
717 , 73     
719 , 65     
721 , 68     
723 , 68     
725 , 62     
727 , 68     
729 , 73     
731 , 76     
733 , 87     
735 , 87     
737 , 85     
739 , 87     
741 , 85     
743 , 85     
745 , 82     
747 , 96     
749 , 96     
751 , 93     
753 , 93     
755 , 90     
757 , 79     
759 , 73     
761 , 68     
763 , 73     
765 , 76     
767 , 79     
769 , 90     
771 , 99     
773 , 102    
775 , 107    
777 , 113    
779 , 104    
781 , 107    
783 , 116    
785 , 121    
787 , 119    
789 , 124    
791 , 119    
793 , 113    
795 , 110    
797 , 124    
799 , 121    
801 , 116    
803 , 116    
805 , 121    
807 , 119    
809 , 116    
811 , 127    
813 , 110    
815 , 104    
817 , 119    
819 , 124    
821 , 119    
823 , 121    
825 , 127    
827 , 113    
829 , 116    
831 , 138    
833 , 136    
835 , 121    
837 , 127    
839 , 141    
841 , 130    
843 , 127    
845 , 144    
847 , 147    
849 , 141    
851 , 147    
853 , 144    
855 , 133    
857 , 138    
859 , 150    
861 , 133    
863 , 133    
865 , 150    
867 , 141    
