X,NULL,NULL1,Y
1   , , 0      , 144    
2   , , 1      , 0      
3   , , 0      , 144    
4   , , 2      , 0      
5   , , 0      , 144    
6   , , 3      , 0      
7   , , 0      , 144    
8   , , 4      , 0      
9   , , 0      , 144    
10  , , 5      , 0      
11  , , 0      , 147    
12  , , 6      , 0      
13  , , 0      , 147    
14  , , 7      , 0      
15  , , 0      , 144    
16  , , 8      , 0      
17  , , 0      , 144    
18  , , 9      , 0      
19  , , 0      , 147    
20  , , 10     , 0      
21  , , 0      , 144    
22  , , 11     , 0      
23  , , 0      , 141    
24  , , 12     , 0      
25  , , 0      , 144    
26  , , 13     , 0      
27  , , 0      , 136    
28  , , 14     , 0      
29  , , 0      , 127    
30  , , 15     , 0      
31  , , 0      , 141    
32  , , 16     , 0      
33  , , 0      , 138    
34  , , 17     , 0      
35  , , 0      , 147    
36  , , 18     , 0      
37  , , 0      , 136    
38  , , 19     , 0      
39  , , 0      , 147    
40  , , 20     , 0      
41  , , 0      , 147    
42  , , 21     , 0      
43  , , 0      , 144    
44  , , 22     , 0      
45  , , 0      , 147    
46  , , 23     , 0      
47  , , 0      , 150    
48  , , 24     , 0      
49  , , 0      , 147    
50  , , 25     , 0      
51  , , 0      , 147    
52  , , 26     , 0      
53  , , 0      , 147    
54  , , 27     , 0      
55  , , 0      , 144    
56  , , 28     , 0      
57  , , 0      , 141    
58  , , 29     , 0      
59  , , 0      , 138    
60  , , 30     , 0      
61  , , 0      , 99     
62  , , 31     , 0      
63  , , 0      , 19     
64  , , 32     , 0      
65  , , 0      , 11     
66  , , 33     , 0      
67  , , 0      , 11     
68  , , 34     , 0      
69  , , 0      , 11     
70  , , 35     , 0      
71  , , 0      , 34     
72  , , 36     , 0      
73  , , 0      , 76     
74  , , 37     , 0      
75  , , 0      , 107    
76  , , 38     , 0      
77  , , 0      , 96     
78  , , 39     , 0      
79  , , 0      , 85     
80  , , 40     , 0      
81  , , 0      , 53     
82  , , 41     , 0      
83  , , 0      , 5      
84  , , 42     , 0      
85  , , 0      , 39     
86  , , 43     , 0      
87  , , 0      , 31     
88  , , 44     , 0      
89  , , 0      , 19     
90  , , 45     , 0      
91  , , 0      , 8      
92  , , 46     , 0      
93  , , 0      , 11     
94  , , 47     , 0      
95  , , 0      , 2      
96  , , 48     , 0      
97  , , 0      , 0      
98  , , 49     , 0      
99  , , 0      , 0      
100 , , 50     , 0      
101 , , 0      , 5      
102 , , 51     , 0      
103 , , 0      , 19     
104 , , 52     , 0      
105 , , 0      , 22     
106 , , 53     , 0      
107 , , 0      , 19     
108 , , 54     , 0      
109 , , 0      , 31     
110 , , 55     , 0      
111 , , 0      , 42     
112 , , 56     , 0      
113 , , 0      , 85     
114 , , 57     , 0      
115 , , 0      , 133    
116 , , 58     , 0      
117 , , 0      , 119    
118 , , 59     , 0      
119 , , 0      , 87     
120 , , 60     , 0      
121 , , 0      , 82     
122 , , 61     , 0      
123 , , 0      , 110    
124 , , 62     , 0      
125 , , 0      , 116    
126 , , 63     , 0      
127 , , 0      , 113    
128 , , 64     , 0      
129 , , 0      , 79     
130 , , 65     , 0      
131 , , 0      , 96     
132 , , 66     , 0      
133 , , 0      , 82     
134 , , 67     , 0      
135 , , 0      , 68     
136 , , 68     , 0      
137 , , 0      , 70     
138 , , 69     , 0      
139 , , 0      , 62     
140 , , 70     , 0      
141 , , 0      , 65     
142 , , 71     , 0      
143 , , 0      , 48     
144 , , 72     , 0      
145 , , 0      , 45     
146 , , 73     , 0      
147 , , 0      , 45     
148 , , 74     , 0      
149 , , 0      , 39     
150 , , 75     , 0      
151 , , 0      , 36     
152 , , 76     , 0      
153 , , 0      , 31     
154 , , 77     , 0      
155 , , 0      , 25     
156 , , 78     , 0      
157 , , 0      , 22     
158 , , 79     , 0      
159 , , 0      , 22     
160 , , 80     , 0      
161 , , 0      , 17     
162 , , 81     , 0      
163 , , 0      , 14     
164 , , 82     , 0      
165 , , 0      , 14     
166 , , 83     , 0      
167 , , 0      , 14     
168 , , 84     , 0      
169 , , 0      , 14     
170 , , 85     , 0      
171 , , 0      , 14     
172 , , 86     , 0      
173 , , 0      , 14     
174 , , 87     , 0      
175 , , 0      , 14     
176 , , 88     , 0      
177 , , 0      , 17     
178 , , 89     , 0      
179 , , 0      , 14     
180 , , 90     , 0      
181 , , 0      , 14     
182 , , 91     , 0      
183 , , 0      , 14     
184 , , 92     , 0      
185 , , 0      , 14     
186 , , 93     , 0      
187 , , 0      , 11     
188 , , 94     , 0      
189 , , 0      , 11     
190 , , 95     , 0      
191 , , 0      , 14     
192 , , 96     , 0      
193 , , 0      , 14     
194 , , 97     , 0      
195 , , 0      , 14     
196 , , 98     , 0      
197 , , 0      , 14     
198 , , 99     , 0      
199 , , 0      , 14     
200 , , 100    , 0      
201 , , 0      , 11     
202 , , 101    , 0      
203 , , 0      , 14     
204 , , 102    , 0      
205 , , 0      , 11     
206 , , 103    , 0      
207 , , 0      , 14     
208 , , 104    , 0      
209 , , 0      , 14     
210 , , 105    , 0      
211 , , 0      , 11     
212 , , 106    , 0      
213 , , 0      , 14     
214 , , 107    , 0      
215 , , 0      , 14     
216 , , 108    , 0      
217 , , 0      , 14     
218 , , 109    , 0      
219 , , 0      , 11     
220 , , 110    , 0      
221 , , 0      , 14     
222 , , 111    , 0      
223 , , 0      , 8      
224 , , 112    , 0      
225 , , 0      , 11     
226 , , 113    , 0      
227 , , 0      , 14     
228 , , 114    , 0      
229 , , 0      , 22     
230 , , 115    , 0      
231 , , 0      , 19     
232 , , 116    , 0      
233 , , 0      , 19     
234 , , 117    , 0      
235 , , 0      , 22     
236 , , 118    , 0      
237 , , 0      , 22     
238 , , 119    , 0      
239 , , 0      , 25     
240 , , 120    , 0      
241 , , 0      , 22     
242 , , 121    , 0      
243 , , 0      , 22     
244 , , 122    , 0      
245 , , 0      , 25     
246 , , 123    , 0      
247 , , 0      , 19     
248 , , 124    , 0      
249 , , 0      , 28     
250 , , 125    , 0      
251 , , 0      , 65     
252 , , 126    , 0      
253 , , 0      , 39     
254 , , 127    , 0      
255 , , 0      , 31     
256 , , 128    , 0      
257 , , 0      , 36     
258 , , 129    , 0      
259 , , 0      , 39     
260 , , 130    , 0      
261 , , 0      , 45     
262 , , 131    , 0      
263 , , 0      , 45     
264 , , 132    , 0      
265 , , 0      , 48     
266 , , 133    , 0      
267 , , 0      , 62     
268 , , 134    , 0      
269 , , 0      , 59     
270 , , 135    , 0      
271 , , 0      , 62     
272 , , 136    , 0      
273 , , 0      , 65     
274 , , 137    , 0      
275 , , 0      , 73     
276 , , 138    , 0      
277 , , 0      , 70     
278 , , 139    , 0      
279 , , 0      , 65     
280 , , 140    , 0      
281 , , 0      , 85     
282 , , 141    , 0      
283 , , 0      , 70     
284 , , 142    , 0      
285 , , 0      , 73     
286 , , 143    , 0      
287 , , 0      , 73     
288 , , 144    , 0      
289 , , 0      , 87     
290 , , 145    , 0      
291 , , 0      , 76     
292 , , 146    , 0      
293 , , 0      , 79     
294 , , 147    , 0      
295 , , 0      , 96     
296 , , 148    , 0      
297 , , 0      , 85     
298 , , 149    , 0      
299 , , 0      , 73     
300 , , 150    , 0      
301 , , 0      , 85     
302 , , 151    , 0      
303 , , 0      , 96     
304 , , 152    , 0      
305 , , 0      , 85     
306 , , 153    , 0      
307 , , 0      , 93     
308 , , 154    , 0      
309 , , 0      , 107    
310 , , 155    , 0      
311 , , 0      , 90     
312 , , 156    , 0      
313 , , 0      , 90     
314 , , 157    , 0      
315 , , 0      , 113    
316 , , 158    , 0      
317 , , 0      , 119    
318 , , 159    , 0      
